"suite","cohort","task","metric","selected_pairs","measured_pairs","shell_mean_ns","transparent_mean_ns","delta_ns","delta_ci95_low_ns","delta_ci95_high_ns","ratio","ratio_ci95_low","ratio_ci95_high"
"offline","strict","stdin_backpressure","startup_to_ready_ns",10,10,21263034.6,23259011.9,1995977.3,986757,2934214.8,1.0938707638654737,1.0458904008644923,1.140622698308073
"offline","strict","stdin_backpressure","tool_call_ns",10,10,58482317.3,60203588.3,1721271,-15643.9,3345805,1.0294323323607424,0.9997355245247365,1.0575359743779127
"offline","strict","stdin_eof","codex_total_ns",10,10,10291858830.7,10287036201.5,-4822629.2,-22723527.2,5931346.9,0.9995314131995655,0.9977958452387944,1.000576729133342
"offline","strict","stdin_eof","startup_to_ready_ns",10,10,21544591.6,22506971.1,962379.5,-55392.6,2009811,1.044669192058391,0.9975028323647597,1.0969861057276018
"offline","strict","stdin_eof","tool_call_ns",10,10,56203222.2,57523669.1,1320446.9,-965519.7,3778386.4,1.0234941494155116,0.9831607545219736,1.068445662376487
"offline","strict","stdin_pty_utf8","codex_total_ns",10,10,12707065617.9,12714733284.7,7667666.8,-4922679.9,18761115,1.000603417581255,0.9996127285341957,1.0015485890442284
"offline","strict","stdin_pty_utf8","startup_to_ready_ns",10,10,21855452,21915532.5,60080.5,-1180168.5,1406709.1,1.0027489937064673,0.9476473395621359,1.0659919828206474
"offline","strict","stdin_pty_utf8","tool_call_ns",10,10,3468659392.5,3469040191,380798.5,-924959.4,1649157,1.0001097826153884,0.9997333531827748,1.000475544427589
"online","ITT","all","codex_total_ns",209,209,37838036984.28708,37515014528.51196,-323022455.7751196,-4321817962.564593,3984640248.827751,0.9914630228859584,0.8909547761456938,1.1103391001774308
"online","ITT","all","external_response_ns",209,209,18406926207.344498,18371567907.5311,-35358299.81339713,-4322257547.392344,4488767596.980862,0.9980790763533736,0.7840331755926477,1.2658348857711839
"online","ITT","all","rate_wait_ns",209,198,9338530142.11111,9104841677.00505,-233688465.1060606,-691393215.0656565,223030100.2070707,0.9749758836187435,0.9265783118475031,1.0242167189588567
"online","ITT","all","request_to_first_byte_ns",209,209,9878356011.468899,9661026310.239235,-217329701.22966507,-3760378281.8995214,3553748110.5645933,0.9779994058750928,0.6740829570126693,1.4481837330172243
"online","ITT","all","tool_call_ns",209,196,908750525.8979592,877517371.2244898,-31233154.673469387,-96969770.06632653,5261177.3112244895,0.96563066123939,0.8927046704474798,1.0060299054732251
"online","ITT","all","startup_to_ready_ns",209,187,46683059.60427807,46029882.016042784,-653177.5882352941,-3708638.219251337,1191739.2620320856,0.9860082523773692,0.9223886094997333,1.0262978048828832
"online","ITT","all","spawn_return_ns",209,196,3754246.785714286,3559892.56122449,-194354.22448979592,-445597.5867346939,-8875.122448979591,0.9482308341504465,0.8849439270827388,0.9973378051718076
"online","ITT","all","policy_sandbox_spawn_ns",209,196,188967235.26530612,183536555.17857143,-5430680.0867346935,-20155326.06632653,4988446.821428572,0.9712612608259303,0.897457664562192,1.0270532975419646
"online","ITT","all","fixture_runtime_ns",209,151,336148205.77483445,333196652.7218543,-2951553.0529801324,-10706767.490066225,4516077.231788079,0.991219488897236,0.9633732873178311,1.0142680909820048
"online","ITT","all","artifact_write_ns",209,209,53441834.72248804,63631275.86124402,10189441.13875598,-1283000.6172248805,21242943.866028707,1.1906641340378294,0.9791410816033562,1.440093913549805
"online","ITT","all","unexplained_ns",209,209,9643462809.679426,9666879395.124401,23416585.444976076,-280366025.8755981,327149151.708134,1.0024282341216135,0.9711025008263211,1.0344651440492205
"online","ITT","all","post_response_to_wait_ns",209,209,9431429589.15311,9454468845.755981,23039256.602870815,-281911728.9617225,328153796.93301433,1.0024428170072295,0.9704094908043394,1.0351873583395468
"online","strict","all","codex_total_ns",183,183,35561881378.21311,34580840178.90164,-981041199.3114754,-4637046595.010929,2722925399.8469944,0.9724131243541996,0.8753945292101193,1.0814498463256295
"online","strict","all","external_response_ns",183,183,15449072637.721312,14758305025.972677,-690767611.7486339,-4517519228.918033,3200963331.103825,0.9552874384147811,0.7412698746530006,1.244969794333546
"online","strict","all","rate_wait_ns",183,175,9727249022.485714,9533841806.857143,-193407215.62857142,-680176944.9428571,279630717.3542857,0.9801169667619811,0.9319455617649749,1.0291737567160621
"online","strict","all","request_to_first_byte_ns",183,183,7962125088.786885,7257319745.005465,-704805343.7814207,-4001931449.956284,2529074008.8688526,0.911480247305584,0.5871032454770174,1.4077012135029179
"online","strict","all","tool_call_ns",183,183,902315345.8579235,902796522.0163934,481176.15846994537,-5691185.513661202,6553485.928961748,1.0005332682866126,0.9933002885735283,1.007428636875694
"online","strict","all","startup_to_ready_ns",183,175,43282901.27428571,44297048.942857146,1014147.6685714286,555285.9942857142,1505150.7657142857,1.0234306767502652,1.0130818273815065,1.0342058654984243
"online","strict","all","spawn_return_ns",183,183,3430042.0655737706,3375679.4972677594,-54362.56830601093,-143731.09289617487,31018.666666666668,0.984151049093062,0.9594497038157195,1.0094324370572023
"online","strict","all","policy_sandbox_spawn_ns",183,183,179914995.54098362,180550740.147541,635744.606557377,-5121889.715846995,6460587.491803279,1.0035335832049228,0.9712965788846014,1.0356716640903134
"online","strict","all","fixture_runtime_ns",183,143,353095431.7062937,350039754.3496503,-3055677.356643357,-11392354.013986014,5628145.20979021,0.9913460297634632,0.9619299695725853,1.0171629642358384
"online","strict","all","artifact_write_ns",183,183,56234065.13661202,63929036.55191257,7694971.415300546,-4344859.797814208,20350250.50273224,1.1368382562528032,0.9291880360903126,1.3920374604676968
"online","strict","all","unexplained_ns",183,183,9833561815.016394,9790727581.311476,-42834233.704918034,-240461967.12021858,108096317.61202186,0.9956440774451117,0.976051687608246,1.0110228991069838
"online","strict","all","post_response_to_wait_ns",183,183,9621674769.84153,9577881696.174864,-43793073.666666664,-239858627.81420764,109155265.94535519,0.9954484978224444,0.9755406432784581,1.0112389754301878
"online","strict","argv_empty_unicode","codex_total_ns",8,8,29272340936.25,38081523585.125,8809182648.875,-1213478131.75,27366808288.375,1.3009387827252985,0.9593953465769084,1.940761585445678
"online","strict","argv_empty_unicode","startup_to_ready_ns",8,8,23262569.25,22574761.875,-687807.375,-1880333.125,615427.875,0.97043287146797,0.9227145832036114,1.0275996427494931
"online","strict","argv_empty_unicode","tool_call_ns",8,8,88163494.5,87590819.25,-572675.25,-30368469.5,33487609.875,0.9935043948377069,0.6949828823047277,1.406403730855897
"online","strict","argv_long","codex_total_ns",0,0,,,,,,,,
"online","strict","argv_long","startup_to_ready_ns",0,0,,,,,,,,
"online","strict","argv_long","tool_call_ns",0,0,,,,,,,,
"online","strict","argv_metacharacters","codex_total_ns",8,8,31108612072.625,29627553019.875,-1481059052.75,-3983666122.625,-25059198.875,0.9523907061718995,0.8812698935971631,0.9991578916602928
"online","strict","argv_metacharacters","startup_to_ready_ns",8,8,23257679.5,23528261.375,270581.875,-1220629.25,1528530,1.0116340873559635,0.9492066829312215,1.0682196120456826
